id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0401,Awerial,Awerial,awerial,SS0401,8,6.188,31.155
SS0402,Cueibet,Cueibet,cueibet,SS0402,7,7.096,29.231
SS0403,Rumbek Centre,Rumbek Centre,rumbek-centre,SS0403,5,6.986,29.798
SS0404,Rumbek East,Rumbek East,rumbek-east,SS0404,7,6.745,29.969
SS0405,Rumbek North,Rumbek North,rumbek-north,SS0405,6,7.541,29.657
SS0406,Wulu,Wulu,wulu,SS0406,4,6.219,29.218
SS0407,Yirol East,Yirol East,yirol-east,SS0407,6,6.774,30.849
SS0408,Yirol West,Yirol West,yirol-west,SS0408,7,6.386,30.483
