id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0701,Baliet,Baliet,baliet,SS0701,9,9.407,32.351
SS0702,Fashoda,Fashoda,fashoda,SS0702,4,9.988,31.858
SS0703,Longochuk,Longochuk,longochuk,SS0703,6,9.303,33.525
SS0704,Luakpiny/Nasir,Luakpiny/Nasir,luakpinynasir,SS0704,8,8.902,33.216
SS0705,Maban,Maban,maban,SS0705,5,10.017,33.478
SS0706,Maiwut,Maiwut,maiwut,SS0706,5,8.784,33.805
SS0707,Malakal,Malakal,malakal,SS0707,6,9.673,31.617
SS0708,Manyo,Manyo,manyo,SS0708,4,11.036,32.289
SS0709,Melut,Melut,melut,SS0709,6,10.371,32.557
SS0710,Panyikang,Panyikang,panyikang,SS0710,7,9.347,31.417
SS0711,Renk,Renk,renk,SS0711,5,11.291,32.914
SS0712,Ulang,Ulang,ulang,SS0712,4,8.552,32.815
