id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.state,children_count.county,children_count.payam,zip_codes,geo.lat,geo.lon
SS0311,2,County,County,Uror,Uror,uror,SS0311,,SS03,Jonglei,Jonglei,,,8,,7.693,32.148
SS04,1,State,State,Lakes,Lakes,lakes,SS04,,,,,,8,50,,6.754,30.08
SS0401,2,County,County,Awerial,Awerial,awerial,SS0401,,SS04,Lakes,Lakes,,,8,,6.188,31.155
SS0402,2,County,County,Cueibet,Cueibet,cueibet,SS0402,,SS04,Lakes,Lakes,,,7,,7.096,29.231
SS0403,2,County,County,Rumbek Centre,Rumbek Centre,rumbek-centre,SS0403,,SS04,Lakes,Lakes,,,5,,6.986,29.798
SS0404,2,County,County,Rumbek East,Rumbek East,rumbek-east,SS0404,,SS04,Lakes,Lakes,,,7,,6.745,29.969
SS0405,2,County,County,Rumbek North,Rumbek North,rumbek-north,SS0405,,SS04,Lakes,Lakes,,,6,,7.541,29.657
SS0406,2,County,County,Wulu,Wulu,wulu,SS0406,,SS04,Lakes,Lakes,,,4,,6.219,29.218
SS0407,2,County,County,Yirol East,Yirol East,yirol-east,SS0407,,SS04,Lakes,Lakes,,,6,,6.774,30.849
SS0408,2,County,County,Yirol West,Yirol West,yirol-west,SS0408,,SS04,Lakes,Lakes,,,7,,6.386,30.483
SS05,1,State,State,Northern Bahr el Ghazal,Northern Bahr el Ghazal,northern-bahr-el-ghazal,SS05,,,,,,5,39,,8.894,27.086
SS0501,2,County,County,Aweil Centre,Aweil Centre,aweil-centre,SS0501,,SS05,Northern Bahr el Ghazal,Northern Bahr el Ghazal,,,7,,8.427,27.011
SS0502,2,County,County,Aweil East,Aweil East,aweil-east,SS0502,,SS05,Northern Bahr el Ghazal,Northern Bahr el Ghazal,,,8,,9.179,27.608
SS0503,2,County,County,Aweil North,Aweil North,aweil-north,SS0503,,SS05,Northern Bahr el Ghazal,Northern Bahr el Ghazal,,,5,,9.406,26.766
SS0504,2,County,County,Aweil South,Aweil South,aweil-south,SS0504,,SS05,Northern Bahr el Ghazal,Northern Bahr el Ghazal,,,9,,8.666,27.7
SS0505,2,County,County,Aweil West,Aweil West,aweil-west,SS0505,,SS05,Northern Bahr el Ghazal,Northern Bahr el Ghazal,,,10,,8.906,26.784
SS06,1,State,State,Unity,Unity,unity,SS06,,,,,,9,73,,8.678,29.77
SS0601,2,County,County,Abiemnhom,Abiemnhom,abiemnhom,SS0601,,SS06,Unity,Unity,,,4,,9.53,29.153
SS0602,2,County,County,Guit,Guit,guit,SS0602,,SS06,Unity,Unity,,,7,,9.198,30.103
SS0603,2,County,County,Koch,Koch,koch,SS0603,,SS06,Unity,Unity,,,7,,8.602,29.799
SS0604,2,County,County,Leer,Leer,leer,SS0604,,SS06,Unity,Unity,,,8,,8.189,30.246
SS0605,2,County,County,Mayendit,Mayendit,mayendit,SS0605,,SS06,Unity,Unity,,,9,,8.125,30.01
SS0606,2,County,County,Mayom,Mayom,mayom,SS0606,,SS06,Unity,Unity,,,12,,9.075,29.151
SS0607,2,County,County,Panyijiar,Panyijiar,panyijiar,SS0607,,SS06,Unity,Unity,,,10,,7.529,30.342
SS0608,2,County,County,Pariang,Pariang,pariang,SS0608,,SS06,Unity,Unity,,,7,,9.838,30.192
SS0609,2,County,County,Rubkona,Rubkona,rubkona,SS0609,,SS06,Unity,Unity,,,9,,9.304,29.632
SS07,1,State,State,Upper Nile,Upper Nile,upper-nile,SS07,,,,,,12,69,,10.112,32.452
SS0701,2,County,County,Baliet,Baliet,baliet,SS0701,,SS07,Upper Nile,Upper Nile,,,9,,9.407,32.351
SS0702,2,County,County,Fashoda,Fashoda,fashoda,SS0702,,SS07,Upper Nile,Upper Nile,,,4,,9.988,31.858
SS0703,2,County,County,Longochuk,Longochuk,longochuk,SS0703,,SS07,Upper Nile,Upper Nile,,,6,,9.303,33.525
SS0704,2,County,County,Luakpiny/Nasir,Luakpiny/Nasir,luakpinynasir,SS0704,,SS07,Upper Nile,Upper Nile,,,8,,8.902,33.216
SS0705,2,County,County,Maban,Maban,maban,SS0705,,SS07,Upper Nile,Upper Nile,,,5,,10.017,33.478
SS0706,2,County,County,Maiwut,Maiwut,maiwut,SS0706,,SS07,Upper Nile,Upper Nile,,,5,,8.784,33.805
SS0707,2,County,County,Malakal,Malakal,malakal,SS0707,,SS07,Upper Nile,Upper Nile,,,6,,9.673,31.617
SS0708,2,County,County,Manyo,Manyo,manyo,SS0708,,SS07,Upper Nile,Upper Nile,,,4,,11.036,32.289
SS0709,2,County,County,Melut,Melut,melut,SS0709,,SS07,Upper Nile,Upper Nile,,,6,,10.371,32.557
SS0710,2,County,County,Panyikang,Panyikang,panyikang,SS0710,,SS07,Upper Nile,Upper Nile,,,7,,9.347,31.417
SS0711,2,County,County,Renk,Renk,renk,SS0711,,SS07,Upper Nile,Upper Nile,,,5,,11.291,32.914
SS0712,2,County,County,Ulang,Ulang,ulang,SS0712,,SS07,Upper Nile,Upper Nile,,,4,,8.552,32.815
SS08,1,State,State,Warrap,Warrap,warrap,SS08,,,,,,6,47,,7.87,28.78
SS0801,2,County,County,Gogrial East,Gogrial East,gogrial-east,SS0801,,SS08,Warrap,Warrap,,,6,,8.516,28.659
SS0802,2,County,County,Gogrial West,Gogrial West,gogrial-west,SS0802,,SS08,Warrap,Warrap,,,9,,8.576,28.161
SS0803,2,County,County,Tonj East,Tonj East,tonj-east,SS0803,,SS08,Warrap,Warrap,,,11,,7.837,29.252
SS0804,2,County,County,Tonj North,Tonj North,tonj-north,SS0804,,SS08,Warrap,Warrap,,,10,,8.246,28.924
SS0805,2,County,County,Tonj South,Tonj South,tonj-south,SS0805,,SS08,Warrap,Warrap,,,5,,7.089,28.763
SS0806,2,County,County,Twic,Twic,twic,SS0806,,SS08,Warrap,Warrap,,,6,,9.063,28.374
SS09,1,State,State,Western Bahr el Ghazal,Western Bahr el Ghazal,western-bahr-el-ghazal,SS09,,,,,,3,15,,8.541,26.343
SS0901,2,County,County,Jur River,Jur River,jur-river,SS0901,,SS09,Western Bahr el Ghazal,Western Bahr el Ghazal,,,6,,7.62,27.89
SS0902,2,County,County,Raja,Raja,raja,SS0902,,SS09,Western Bahr el Ghazal,Western Bahr el Ghazal,,,4,,8.541,25.54
SS0903,2,County,County,Wau,Wau,wau,SS0903,,SS09,Western Bahr el Ghazal,Western Bahr el Ghazal,,,5,,7.398,27.269
SS10,1,State,State,Western Equatoria,Western Equatoria,western-equatoria,SS10,,,,,,10,47,,5.539,28.654
SS1001,2,County,County,Ezo,Ezo,ezo,SS1001,,SS10,Western Equatoria,Western Equatoria,,,6,,5.603,27.878
SS1002,2,County,County,Ibba,Ibba,ibba,SS1002,,SS10,Western Equatoria,Western Equatoria,,,5,,5.058,29.031
SS1003,2,County,County,Maridi,Maridi,maridi,SS1003,,SS10,Western Equatoria,Western Equatoria,,,5,,5.135,29.76
SS1004,2,County,County,Mundri East,Mundri East,mundri-east,SS1004,,SS10,Western Equatoria,Western Equatoria,,,5,,5.301,30.679
SS1005,2,County,County,Mundri West,Mundri West,mundri-west,SS1005,,SS10,Western Equatoria,Western Equatoria,,,4,,5.152,30.175
SS1006,2,County,County,Mvolo,Mvolo,mvolo,SS1006,,SS10,Western Equatoria,Western Equatoria,,,7,,5.951,30.086
SS1007,2,County,County,Nagero,Nagero,nagero,SS1007,,SS10,Western Equatoria,Western Equatoria,,,2,,6.148,27.393
SS1008,2,County,County,Nzara,Nzara,nzara,SS1008,,SS10,Western Equatoria,Western Equatoria,,,5,,5.312,28.171
SS1009,2,County,County,Tambura,Tambura,tambura,SS1009,,SS10,Western Equatoria,Western Equatoria,,,3,,5.721,27.604
SS1010,2,County,County,Yambio,Yambio,yambio,SS1010,,SS10,Western Equatoria,Western Equatoria,,,5,,5.178,28.559
