id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0501,Aweil Centre,Aweil Centre,aweil-centre,SS0501,7,8.427,27.011
SS0502,Aweil East,Aweil East,aweil-east,SS0502,8,9.179,27.608
SS0503,Aweil North,Aweil North,aweil-north,SS0503,5,9.406,26.766
SS0504,Aweil South,Aweil South,aweil-south,SS0504,9,8.666,27.7
SS0505,Aweil West,Aweil West,aweil-west,SS0505,10,8.906,26.784
