id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0901,Jur River,Jur River,jur-river,SS0901,6,7.62,27.89
SS0902,Raja,Raja,raja,SS0902,4,8.541,25.54
SS0903,Wau,Wau,wau,SS0903,5,7.398,27.269
