id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0301,Akobo,Akobo,akobo,SS0301,8,7.816,32.845
SS0302,Ayod,Ayod,ayod,SS0302,7,8.272,30.99
SS0303,Bor South,Bor South,bor-south,SS0303,6,6.474,31.973
SS0304,Canal/Pigi,Canal/Pigi,canalpigi,SS0304,8,9.096,31.451
SS0305,Duk,Duk,duk,SS0305,6,7.661,31.13
SS0306,Fangak,Fangak,fangak,SS0306,5,9.045,30.693
SS0307,Nyirol,Nyirol,nyirol,SS0307,6,8.567,32.068
SS0308,Pibor,Pibor,pibor,SS0308,8,6.56,33.705
SS0309,Pochalla,Pochalla,pochalla,SS0309,5,7.205,33.88
SS0310,Twic East,Twic East,twic-east,SS0310,5,7.04,31.241
SS0311,Uror,Uror,uror,SS0311,8,7.693,32.148
