id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS1001,Ezo,Ezo,ezo,SS1001,6,5.603,27.878
SS1002,Ibba,Ibba,ibba,SS1002,5,5.058,29.031
SS1003,Maridi,Maridi,maridi,SS1003,5,5.135,29.76
SS1004,Mundri East,Mundri East,mundri-east,SS1004,5,5.301,30.679
SS1005,Mundri West,Mundri West,mundri-west,SS1005,4,5.152,30.175
SS1006,Mvolo,Mvolo,mvolo,SS1006,7,5.951,30.086
SS1007,Nagero,Nagero,nagero,SS1007,2,6.148,27.393
SS1008,Nzara,Nzara,nzara,SS1008,5,5.312,28.171
SS1009,Tambura,Tambura,tambura,SS1009,3,5.721,27.604
SS1010,Yambio,Yambio,yambio,SS1010,5,5.178,28.559
