id,name.local,name.en,name.slug,code.id,children_count.payam,geo.lat,geo.lon
SS0601,Abiemnhom,Abiemnhom,abiemnhom,SS0601,4,9.53,29.153
SS0602,Guit,Guit,guit,SS0602,7,9.198,30.103
SS0603,Koch,Koch,koch,SS0603,7,8.602,29.799
SS0604,Leer,Leer,leer,SS0604,8,8.189,30.246
SS0605,Mayendit,Mayendit,mayendit,SS0605,9,8.125,30.01
SS0606,Mayom,Mayom,mayom,SS0606,12,9.075,29.151
SS0607,Panyijiar,Panyijiar,panyijiar,SS0607,10,7.529,30.342
SS0608,Pariang,Pariang,pariang,SS0608,7,9.838,30.192
SS0609,Rubkona,Rubkona,rubkona,SS0609,9,9.304,29.632
